PDF Name,Text from 2nd last <td>,Download Link
"Tuesday, 20th December, 2022","Tuesday, 20th December, 2022",https://na.gov.pk/uploads/documents/63b3d7f0cf541_881.pdf
"Tuesday, 11th October, 2022","Tuesday, 11th October, 2022",https://na.gov.pk/uploads/documents/634e72ff75abf_485.pdf
"Thursday, 9th June, 2022","Thursday, 9th June, 2022",https://na.gov.pk/uploads/documents/634fad8f994b3_291.pdf
"Thursday, 26th May, 2022","Thursday, 26th May, 2022",https://na.gov.pk/uploads/documents/634fadf309f8b_515.pdf
"Thursday, 6th October, 2022","Thursday, 6th October, 2022",https://na.gov.pk/uploads/documents/634faeeb927a8_910.pdf
"Monday, 24th October, 2022","Monday, 24th October, 2022",https://na.gov.pk/uploads/documents/6364e4be00b2c_929.pdf
"Friday, 21st October, 2022","Friday, 21st October, 2022",https://na.gov.pk/uploads/documents/63ecc3ee19589_289.pdf
"Thursday, 20th October, 2022","Thursday, 20th October, 2022",https://na.gov.pk/uploads/documents/63ecc3a678f4c_976.pdf
"Wednesday, 19th October, 2022","Wednesday, 19th October, 2022",https://na.gov.pk/uploads/documents/6360a3af37bb0_915.pdf
"Tuesday, 18th October, 2022","Tuesday, 18th October, 2022",https://na.gov.pk/uploads/documents/63ecb3fb3e78b_360.pdf
"Monday, 17th October, 2022","Monday, 17th October, 2022",https://na.gov.pk/uploads/documents/63ecb3a3ed0e3_472.pdf
"Friday, 14th October, 2022","Friday, 14th October, 2022",https://na.gov.pk/uploads/documents/634fac7661ac7_815.pdf
"Thursday, 13th October, 2022","Thursday, 13th October, 2022",https://na.gov.pk/uploads/documents/63ecb191e0f39_230.pdf
"Wednesday, 12th October, 2022","Wednesday, 12th October, 2022",https://na.gov.pk/uploads/documents/635134115609d_284.pdf
"Monday, 10th October, 2022","Monday, 10th October, 2022",https://na.gov.pk/uploads/documents/634e6dbbe306b_328.pdf
"Friday, 7th October, 2022","Friday, 7th October, 2022",https://na.gov.pk/uploads/documents/63493f371c6b2_608.pdf
"Tuesday, 13th December, 2022","Tuesday, 13th December, 2022",https://na.gov.pk/uploads/documents/63ecae51b22be_828.pdf
"Monday, 12th December, 2022","Monday, 12th December, 2022",https://na.gov.pk/uploads/documents/63ecaee76bdc1_939.pdf
"Friday, 2nd December, 2022","Friday, 2nd December, 2022",https://na.gov.pk/uploads/documents/63ec6f4a9aba7_467.pdf
"Thursday, 1st December, 2022","Thursday, 1st December, 2022",https://na.gov.pk/uploads/documents/63ec6ec58d869_633.pdf
"Friday, 25th November, 2022","Friday, 25th November, 2022",https://na.gov.pk/uploads/documents/63ec6e647b7a4_380.pdf
"Thursday, 24th November, 2022","Thursday, 24th November, 2022",https://na.gov.pk/uploads/documents/638da53d2d412_663.pdf
"Monday, 21st November, 2022","Monday, 21st November, 2022",https://na.gov.pk/uploads/documents/63808379ae06d_118.pdf
"Friday, 18th November, 2022","Friday, 18th November, 2022",https://na.gov.pk/uploads/documents/638082bbaca91_516.pdf
"Thursday, 17th November, 2022","Thursday, 17th November, 2022",https://na.gov.pk/uploads/documents/63805ede5b43d_729.pdf
"Monday, 14th November, 2022","Monday, 14th November, 2022",https://na.gov.pk/uploads/documents/63ec6dbabf143_257.pdf
"Friday, 11th November, 2022","Friday, 11th November, 2022",https://na.gov.pk/uploads/documents/6375e574b8e6d_642.pdf
"Thursday, 10th November, 2022","Thursday, 10th November, 2022",https://na.gov.pk/uploads/documents/6375e1f692857_974.pdf
